横幅,縦幅,テクスチャ分割数横,テクスチャ分割数縦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,11,6,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
,19,19,19,19,16,16,16,16,16,17,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,19,16,16,16,16,16,17,19,19,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,15,16,16,16,19,16,17,15,16,16,16,16,16,16,16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,15,16,16,16,16,16,16,19
,19,19,19,19,33,33,33,33,33,33,33,33,19,19,19,19,19,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,19,18,18,18,18,163,73,19,19,73,145,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,33,33,33,33,33,33,33,33,33,33,33,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,72,72,72,72,72,72,72,72,72,72,72,72,72,72,144,0,1,1,1,1,1,2,19
,19,19,19,19,72,72,72,72,72,72,72,19,19,19,19,19,19,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,19,18,18,18,18,19,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,33,33,33,33,33,33,33,33,33,33,33,33,19,19,19,19,19,1,1,1,1,19,19,19,19,19,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,90,6,7,7,7,7,7,8,19
,19,19,19,19,19,19,19,19,19,19,19,19,19,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,19,18,18,18,19,91,18,18,18,18,91,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,33,33,33,33,33,33,33,33,33,33,33,33,33,19,19,19,7,7,7,7,7,7,19,19,19,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,90,6,7,7,7,7,7,8,19
,19,19,19,19,19,19,19,19,19,19,19,19,19,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,18,18,18,18,19,91,18,18,18,18,91,19,18,18,18,18,18,18,18,18,18,163,19,19,19,19,145,18,18,18,18,18,18,18,18,18,18,18,33,33,33,33,33,33,33,33,33,33,33,33,33,33,19,7,7,7,7,7,7,7,7,19,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,90,6,7,7,7,7,7,8,19
,19,126,72,72,72,72,72,72,72,72,72,19,19,19,19,19,19,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,18,18,18,18,18,19,19,18,18,19,19,18,18,18,18,18,18,18,18,18,19,19,109,18,18,127,19,19,18,18,18,18,18,18,18,18,18,18,33,33,33,33,33,33,33,33,33,33,33,33,33,33,6,7,7,7,19,19,7,7,7,8,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,90,6,7,7,7,7,7,8,19
,19,33,33,33,33,33,33,33,33,33,33,33,19,19,19,19,19,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,18,18,18,18,18,91,18,18,18,18,91,18,18,18,18,18,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,33,33,33,33,33,33,33,33,33,33,33,33,33,33,6,7,7,7,19,19,7,7,7,8,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,90,6,7,7,7,7,7,8,19
,19,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,18,18,18,18,18,91,18,18,18,18,91,18,18,18,18,19,0,1,2,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,33,33,33,33,33,33,33,33,33,33,33,33,33,33,19,7,7,7,7,7,7,7,7,19,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,90,6,7,7,7,7,7,8,19
